model,accuracy,recall,precision,f1,total_new_ct,total_obsolete_ct,total_reusable_ct,total_affected_ct,total_obsolete_both_low_ct,perc_new_ct,perc_obsolete_ct,perc_reusable_ct,perc_obsolete_both_low_ct,perc_obsolete_both_low_obsolete_related_ct
gemini-1.5-flash-results-0,0.84,0.8292682926829268,0.9714285714285714,0.8947368421052632,168,387,125,680,48,24.705882352941178,56.91176470588235,18.38235294117647,7.0588235294117645,12.4031007751938
gemini-1.5-flash-results-1,0.85,0.8292682926829268,0.9855072463768116,0.9006622516556291,168,387,125,680,48,24.705882352941178,56.91176470588235,18.38235294117647,7.0588235294117645,12.4031007751938
gemini-1.5-flash-results-2,0.84,0.8292682926829268,0.9714285714285714,0.8947368421052632,168,387,125,680,54,24.705882352941178,56.91176470588235,18.38235294117647,7.941176470588235,13.953488372093023
gpt-4o-mini-results-0,0.81,0.7682926829268293,1.0,0.8689655172413793,168,387,125,680,37,24.705882352941178,56.91176470588235,18.38235294117647,5.4411764705882355,9.560723514211885
gpt-4o-mini-results-1,0.82,0.7926829268292683,0.9848484848484849,0.8783783783783784,168,387,125,680,40,24.705882352941178,56.91176470588235,18.38235294117647,5.88235294117647,10.335917312661499
gpt-4o-mini-results-2,0.81,0.7804878048780488,0.9846153846153847,0.870748299319728,168,387,125,680,42,24.705882352941178,56.91176470588235,18.38235294117647,6.176470588235294,10.852713178294573
mixtral-results-0,0.92,1.0,0.9111111111111111,0.9534883720930233,168,387,125,680,103,24.705882352941178,56.91176470588235,18.38235294117647,15.147058823529411,26.614987080103358
mixtral-results-1,0.9,1.0,0.8913043478260869,0.9425287356321839,168,387,125,680,103,24.705882352941178,56.91176470588235,18.38235294117647,15.147058823529411,26.614987080103358
mixtral-results-2,0.91,1.0,0.9010989010989011,0.9479768786127168,168,387,125,680,103,24.705882352941178,56.91176470588235,18.38235294117647,15.147058823529411,26.614987080103358
openchat-results-0,0.8585858585858586,0.9512195121951219,0.8863636363636364,0.9176470588235294,96,387,140,623,93,15.409309791332262,62.11878009630819,22.47191011235955,14.92776886035313,24.031007751937985
openchat-results-1,0.8484848484848485,0.9634146341463414,0.8681318681318682,0.9132947976878613,96,387,140,623,102,15.409309791332262,62.11878009630819,22.47191011235955,16.37239165329053,26.356589147286826
openchat-results-2,0.8787878787878788,1.0,0.8723404255319149,0.9318181818181819,96,387,140,623,103,15.409309791332262,62.11878009630819,22.47191011235955,16.53290529695024,26.614987080103358
