model,round,total_new,total_obsolete,total_reusable,total_cts,perc_new,perc_obsolete,perc_reusable
gemini-1.5-flash,0,32,220,70,322,10%,68%,22%
gemini-1.5-flash,1,32,220,70,322,10%,68%,22%
gemini-1.5-flash,2,32,220,70,322,10%,68%,22%
gemma2,0,32,218,70,320,10%,68%,22%
gemma2,1,32,220,70,322,10%,68%,22%
gemma2,2,32,220,70,322,10%,68%,22%
gpt-4o-mini,0,32,220,70,322,10%,68%,22%
gpt-4o-mini,1,32,220,70,322,10%,68%,22%
gpt-4o-mini,2,32,220,70,322,10%,68%,22%
gpt-4o,0,32,220,70,322,10%,68%,22%
gpt-4o,1,32,220,70,322,10%,68%,22%
gpt-4o,2,32,220,70,322,10%,68%,22%
mistral,0,32,220,70,322,10%,68%,22%
mistral,1,32,220,70,322,10%,68%,22%
mistral,2,32,220,70,322,10%,68%,22%
mixtral,0,32,220,70,322,10%,68%,22%
mixtral,1,29,218,62,309,9%,71%,20%
mixtral,2,29,218,62,309,9%,71%,20%
openchat,0,32,220,70,322,10%,68%,22%
openchat,1,32,220,70,322,10%,68%,22%
openchat,2,32,220,70,322,10%,68%,22%
qwen2,0,32,220,70,322,10%,68%,22%
qwen2,1,32,220,70,322,10%,68%,22%
qwen2,2,32,220,70,322,10%,68%,22%
